doc_id,origin_path,format,extracted_path,lang,words,char_count,timestamp
doc_0,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\Chapter2_DS-BOUSTIL_2025_2.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_0.txt,en,1975,13229,2026-02-25T21:30:59.128375
doc_1,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\Diplome_Licence.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_1.txt,fr,440,2299,2026-02-25T21:31:06.949888
doc_2,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\Fake.csv,.csv,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_2.csv,en,10316953,62700077,2026-02-25T21:31:10.425369
doc_3,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\file_csvv___ - Copie.csv,.csv,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_3.csv,ca,626,22675,2026-02-25T21:31:10.505953
doc_4,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\file_json___ - Copie.json,.json,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_4.json,en,28,307,2026-02-25T21:31:10.563306
doc_5,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\Licence.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_5.txt,en,92,364,2026-02-25T21:31:14.668793
doc_6,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\synthetic_emotions.csv,.csv,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_6.csv,en,663161,3936105,2026-02-25T21:31:14.906225
doc_7,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\مواقيت القطارات لشهر رمضان 2026 (1).pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_7.txt,ar,3806,21867,2026-02-25T21:31:19.616707
doc_8,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\10554236.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_8.txt,en,3469,24295,2026-02-25T21:31:23.755102
doc_9,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\10674770.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_9.txt,en,1047,7567,2026-02-25T21:31:25.191589
doc_10,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../data\ACCOUNTANT\11163645.pdf,.pdf,E:\Documents\MY PROJECT AI\NLP\les_agents\core\../output\agent1\extracted\doc_10.txt,en,628,4838,2026-02-25T21:31:26.015662
